id,name,actMin,actMax,difficultyTier,difficulty,primaryPurpose,maxHP,actionsPerTurn,handSize,notes
E_PULSE_DAEMON_UNIT,Pulse Daemon Unit,1,2,Normal,7.7,Support/Heal,56,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIRCUIT_HACKER_ARRAY,Circuit Hacker Array,1,2,Hard,9.9,Debuff/DoT,81,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_GLITCH_TECH_PROTOCOL,Glitch Tech Protocol,1,1,Normal,5.0,Attack,65,1,3,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CHROME_MARAUDER_CELL,Chrome Marauder Cell,1,1,Easy,2.6,Support/Heal,35,1,4,"Memorisable pool (5) with tiny deck variance (4/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIPHER_CLERIC_SHARD,Cipher Cleric Shard,1,2,Normal,6.1,Support/Heal,56,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_GHOST_GOON_MK_III,Ghost Goon Mk III,1,1,Normal,7.2,Control,64,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_RAZOR_CLERIC_MK_II,Razor Cleric Mk II,1,1,Easy,4.3,Attack,43,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ECHO_SHAMAN_SWARM,Echo Shaman Swarm,1,3,Elite,27.2,Debuff/DoT,121,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_QUANTUM_POD_SUITE,Quantum Pod Suite,1,2,Hard,16.1,Defense/Tank,96,1,4,"Memorisable pool (6) with tiny deck variance (4/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_NEON_SAPPER_MK_II,Neon Sapper Mk II,1,2,Hard,11.6,Support/Heal,76,1,4,"Memorisable pool (5) with tiny deck variance (2/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_SHAMAN_MK_I,Holo Shaman Mk I,1,2,Normal,4.6,Defense/Tank,76,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_ENFORCER_MK_I,Holo Enforcer Mk I,1,2,Normal,7.7,Attack,65,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_MARAUDER_MK_I,Vanta Marauder Mk I,1,1,Easy,3.6,Debuff/DoT,39,1,4,"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_PULSE_SHAMAN_SUITE,Pulse Shaman Suite,1,3,Normal,5.6,Economy pressure,59,1,3,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_RAT_MK_II,Holo Rat Mk II,1,1,Normal,5.7,Debuff/DoT,61,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_SCOUT_PROXY,Holo Scout Proxy,1,1,Normal,7.8,Defense/Tank,76,1,4,"Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIRCUIT_TECH_RIG,Circuit Tech Rig,1,1,Normal,6.7,Defense/Tank,76,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_STATIC_DAEMON_SWARM,Static Daemon Swarm,1,3,Hard,11.6,Attack,85,1,3,"Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_NEON_WARDEN_SUITE,Neon Warden Suite,1,3,Normal,6.9,Attack,65,1,3,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIRCUIT_DAEMON_ARRAY,Circuit Daemon Array,1,1,Easy,4.3,Economy pressure,38,1,3,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_OBSIDIAN_TECH_RIG,Obsidian Tech Rig,1,1,Easy,4.7,Debuff/DoT,39,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_RAZOR_TECH_NODE,Razor Tech Node,1,1,Easy,4.6,Control,41,1,4,"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ECHO_DAEMON_CREW,Echo Daemon Crew,1,1,Normal,8.5,Debuff/DoT,61,1,4,"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_OBSIDIAN_POD_MK_I,Obsidian Pod Mk I,1,2,Hard,16.2,Support/Heal,76,1,4,"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ION_SNIPER_RIG,Ion Sniper Rig,1,2,Normal,4.8,Economy pressure,59,1,3,"Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_NULL_SHAMAN_UNIT,Null Shaman Unit,1,2,Normal,7.3,Support/Heal,56,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_SNIPER_SUITE,Holo Sniper Suite,1,3,Elite,25.6,Control,127,1,4,"Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_FLUX_COURIER_PROXY,Flux Courier Proxy,1,2,Normal,7.0,Support/Heal,56,1,4,"Memorisable pool (6) with tiny deck variance (4/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_TECH_NODE,Vanta Tech Node,1,2,Normal,8.3,Support/Heal,56,1,4,"Memorisable pool (6) with tiny deck variance (4/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_KILO_SNIPER_ARRAY,Kilo Sniper Array,1,2,Normal,7.7,Control,64,1,4,"Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_OBSIDIAN_HACKER_SWARM,Obsidian Hacker Swarm,1,3,Elite,27.4,Mixed threat,145,1,4,"Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_POD_NODE,Holo Pod Node,1,2,Normal,5.8,Debuff/DoT,61,1,4,"Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ECHO_SNIPER_PACK_2,Echo Sniper Pack 2,1,2,Normal,7.6,Defense/Tank,76,1,4,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_FLUX_SHAMAN_CREW,Flux Shaman Crew,1,3,Elite,21.6,Attack,130,1,4,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_HOLO_RUNNER_NODE,Holo Runner Node,1,1,Easy,2.5,Support/Heal,35,1,4,"Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_PULSE_SAPPER_CELL,Pulse Sapper Cell,1,2,Hard,15.0,Attack,85,1,3,"Memorisable pool (4) with tiny deck variance (2/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_RAZOR_SHAMAN_CREW,Razor Shaman Crew,1,2,Normal,5.2,Defense/Tank,76,1,4,"Memorisable pool (5) with tiny deck variance (3/5). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIPHER_WARDEN_NODE,Cipher Warden Node,1,1,Normal,6.5,Control,64,1,4,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_CIPHER_SHAMAN_PROTOCOL,Cipher Shaman Protocol,1,1,Normal,7.0,Attack,65,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_SCOUT_PACK,Vanta Scout Pack,1,1,Normal,6.0,Economy pressure,59,1,3,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_STATIC_WARDEN_ARRAY,Static Warden Array,1,3,Normal,7.3,Debuff/DoT,61,1,4,"Memorisable pool (6) with tiny deck variance (3/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_NEON_COURIER_CREW,Neon Courier Crew,1,2,Hard,13.4,Economy pressure,79,1,3,"Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ROGUE_TECH_SHARD,Rogue Tech Shard,1,3,Hard,11.8,Economy pressure,79,1,3,"Memorisable pool (6) with tiny deck variance (4/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_VANTA_SAPPER_SHARD,Vanta Sapper Shard,1,1,Normal,6.0,Economy pressure,59,1,3,"Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."
E_ADMINISTRATOR_KILO_CORE,Administrator: Kilo Core,1,3,Boss,104.1,Boss,230,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_NEXUS_ROGUE_ORACLE,Nexus: Rogue Oracle,1,2,Boss,75.5,Boss,181,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ADMINISTRATOR_NULL_GOLIATH,Administrator: Null Goliath,1,1,Boss,80.3,Boss,189,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_VANTA_GOLIATH,Overseer: Vanta Goliath,1,2,Boss,87.8,Boss,202,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_NEXUS_ION_GOLIATH,Nexus: Ion Goliath,1,1,Boss,58.0,Boss,150,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_GHOST_HYDRA,Leviathan: Ghost Hydra,1,2,Boss,95.8,Boss,215,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_TITAN_HOLO_APEX,Titan: Holo Apex,1,1,Boss,78.8,Boss,187,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_STATIC_CORE,Overseer: Static Core,1,2,Boss,74.8,Boss,180,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_NULL_GOLIATH,Archon: Null Goliath,1,3,Boss,115.6,Boss,250,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_BOSS_NEON_MAINFRAME,Boss: Neon Mainframe,1,2,Boss,79.5,Boss,188,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_BOSS_VECTOR_MAINFRAME,Boss: Vector Mainframe,1,2,Boss,78.3,Boss,184,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_NEXUS_CHROME_WARDEN,Nexus: Chrome Warden,1,2,Boss,85.6,Boss,197,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_CHROME_ORACLE,Overseer: Chrome Oracle,1,1,Boss,58.0,Boss,150,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_DIRECTOR_CIRCUIT_HYDRA,Director: Circuit Hydra,1,1,Boss,66.8,Boss,165,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_DIRECTOR_PULSE_MAINFRAME,Director: Pulse Mainframe,1,1,Boss,75.8,Boss,181,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ADMINISTRATOR_CIPHER_MAINFRAME,Administrator: Cipher Mainframe,1,2,Boss,91.5,Boss,209,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_DIRECTOR_GHOST_ORACLE,Director: Ghost Oracle,1,1,Boss,69.3,Boss,170,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_ROGUE_APEX,Overseer: Rogue Apex,1,3,Boss,107.6,Boss,236,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_PULSE_CORE,Leviathan: Pulse Core,1,3,Boss,90.0,Boss,206,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_NEON_APEX,Leviathan: Neon Apex,1,3,Boss,91.1,Boss,207,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_CHROME_ORACLE,Leviathan: Chrome Oracle,1,2,Boss,94.3,Boss,214,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_PULSE_HYDRA,Archon: Pulse Hydra,1,3,Boss,101.3,Boss,226,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_GHOST_GOLIATH,Leviathan: Ghost Goliath,1,3,Boss,99.3,Boss,223,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_OVERSEER_STATIC_WARDEN,Overseer: Static Warden,1,1,Boss,58.5,Boss,151,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_HOLO_ORACLE,Archon: Holo Oracle,1,3,Boss,89.8,Boss,206,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ADMINISTRATOR_PULSE_CITADEL,Administrator: Pulse Citadel,1,3,Boss,87.3,Boss,200,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_LEVIATHAN_VANTA_CORE,Leviathan: Vanta Core,1,3,Boss,93.8,Boss,212,3,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
E_ARCHON_KILO_MAINFRAME,Archon: Kilo Mainframe,1,1,Boss,61.0,Boss,155,2,5,"Boss identity comes from multi-action turns + a slightly larger effective hand, not RAM. Pool 8–12 remains learnable across repeated runs."
